SRC_ADD,PKT_ID,TO_NODE,PKT_SIZE,NUMBER_OF_PKT,NUMBER_OF_BYTE,PKT_RATE,BYTE_RATE,PKT_AVG_SIZE,PKT_CLASS,Timestamp
13,41840,24,64860,210,13620600,23.12,1499665.07,64860,HTTP-FLOOD,16/02/2018 11:27:23 PM
7,7481,23,30955,210,6500550,23.06,713668.4,30955,HTTP-FLOOD,16/02/2018 11:26:32 PM
12,31127,24,63350,210,13303500,23.15,1466444.56,63350,HTTP-FLOOD,20/02/2018 10:43:12
5,50432,24,51653,210,10847130,23.11,1193609.45,51653,HTTP-FLOOD,21/02/2018 11:44:06 PM
14,35393,22,48882,210,10265220,23.09,1128925.23,48882,HTTP-FLOOD,21/02/2018 11:55:55 PM
18,65283,22,55252,210,11602920,22.99,1270180.94,55252,HTTP-FLOOD,15/02/2018 09:04:32 PM
6,8572,24,16417,210,3447570,23.08,378930.63,16417,HTTP-FLOOD,16/02/2018 11:17:26 PM
1,8567,21,22973,210,4824330,23.22,533326.89,22973,HTTP-FLOOD,16/02/2018 11:27:17 PM
15,19360,23,12877,210,2704170,23.07,297050.59,12877,HTTP-FLOOD,21/02/2018 11:55:04 PM
18,23627,24,57768,210,12131280,22.99,1328020.93,57768,HTTP-FLOOD,16/02/2018 11:28:07 PM
8,46100,21,11598,210,2435580,23.03,267084.75,11598,HTTP-FLOOD,16/02/2018 11:24:35 PM
5,71764,24,1113,210,233730,23.11,25719.46,1113,HTTP-FLOOD,16/02/2018 11:26:55 PM
6,40742,24,54916,210,11532360,23.08,1267549.16,54916,HTTP-FLOOD,16/02/2018 11:18:10 PM
2,63193,23,18521,210,3889410,23.19,429474.17,18521,HTTP-FLOOD,21/02/2018 11:56:01 PM
16,20348,23,18347,210,3852870,23.04,422747.27,18347,HTTP-FLOOD,16/02/2018 11:17:41 PM
12,62114,22,6414,210,1346940,23.15,148473.17,6414,HTTP-FLOOD,16/02/2018 11:18:21 PM
20,59751,23,55,7085,389675,94.72,5209.67,55,HTTP-FLOOD,22/02/2018 12:33:00 AM
6,69625,24,5910,210,1241100,23.08,136412.26,5910,HTTP-FLOOD,21/02/2018 11:47:04 PM
14,24719,23,28157,210,5912970,23.09,650283.29,28157,HTTP-FLOOD,22/02/2018 12:03:19 AM
19,2137,22,29213,210,6134730,22.97,670948.02,29213,HTTP-FLOOD,20/02/2018 10:34:27
14,59978,22,25325,210,5318250,23.09,584878.51,25325,HTTP-FLOOD,16/02/2018 11:18:28 PM
8,53645,23,20268,210,4256280,23.03,466742,20268,HTTP-FLOOD,16/02/2018 11:21:18 PM
11,34337,24,14947,210,3138870,23.18,346397.94,14947,HTTP-FLOOD,16/02/2018 11:26:28 PM
11,69630,24,834,210,175140,23.18,19328.02,834,HTTP-FLOOD,20/02/2018 10:58:21
14,30076,22,50658,210,10638180,23.09,1169941.78,50658,HTTP-FLOOD,16/02/2018 11:15:29 PM
10,57864,23,27664,210,5809440,23.2,641858.21,27664,HTTP-FLOOD,21/02/2018 11:50:59 PM
5,21430,21,12602,210,2646420,23.11,291209.93,12602,HTTP-FLOOD,16/02/2018 11:16:42 PM
18,58893,24,24419,210,5127990,22.99,561365.17,24419,HTTP-FLOOD,16/02/2018 11:25:13 PM
13,37576,24,49853,210,10469130,23.12,1152679.66,49853,HTTP-FLOOD,12/6/2010 11:59
7,53644,24,18405,210,3865050,23.06,424327.8,18405,HTTP-FLOOD,16/02/2018 07:58:52 PM
12,40748,22,57900,210,12159000,23.15,1340286.35,57900,HTTP-FLOOD,16/02/2018 11:15:28 PM
15,38671,24,28505,210,5986050,23.07,657562.08,28505,HTTP-FLOOD,21/02/2018 11:48:32 PM
5,18257,24,1009,210,211890,23.11,23316.21,1009,HTTP-FLOOD,20/02/2018 11:11:54
4,21429,24,21583,210,4532430,23.13,499321.1,21583,HTTP-FLOOD,22/02/2018 12:35:10 AM
14,16082,23,50329,210,10569090,23.09,1162343.56,50329,HTTP-FLOOD,16/02/2018 11:27:40 PM
4,57858,23,61232,210,12858720,23.13,1416597.77,61232,HTTP-FLOOD,16/02/2018 11:19:08 PM
3,27881,21,3204,210,672840,23.16,74210.02,3204,HTTP-FLOOD,21/02/2018 11:56:31 PM
1,70671,21,22490,210,4722900,23.22,522113.86,22490,HTTP-FLOOD,16/02/2018 11:28:00 PM
18,59982,22,13511,210,2837310,22.99,310602.6,13511,HTTP-FLOOD,16/02/2018 11:22:12 PM
18,42938,24,62653,210,13157130,22.99,1440321.56,62653,HTTP-FLOOD,16/02/2018 11:25:40 PM
1,18253,24,12605,210,2647050,23.22,292629.85,12605,HTTP-FLOOD,16/02/2018 11:17:35 PM
14,47198,22,4774,210,1002540,23.09,110255.08,4774,HTTP-FLOOD,22/02/2018 12:35:18 AM
15,48291,24,62653,210,13157130,23.07,1445298.62,62653,HTTP-FLOOD,16/02/2018 11:25:12 PM
10,41837,24,46927,210,9854670,23.2,1088796.99,46927,HTTP-FLOOD,22/02/2018 12:10:26 AM
10,33243,23,35971,210,7553910,23.2,834596.64,35971,HTTP-FLOOD,16/02/2018 11:15:43 PM
20,64269,23,55,7085,389675,94.72,5209.67,55,HTTP-FLOOD,22/02/2018 12:06:49 AM
2,19347,21,61154,210,12842340,23.19,1418069.41,61154,HTTP-FLOOD,16/02/2018 11:19:18 PM
20,68872,25,55,7085,389675,94.72,5209.67,55,HTTP-FLOOD,21/02/2018 11:57:38 PM
4,33237,24,44836,210,9415560,23.13,1037277.53,44836,HTTP-FLOOD,16/02/2018 11:23:17 PM
4,51523,23,59844,210,12567240,23.13,1384486.49,59844,HTTP-FLOOD,16/02/2018 11:27:05 PM
9,4311,23,48464,210,10177440,23,1114772.34,48464,HTTP-FLOOD,20/02/2018 11:13:22
13,49386,23,22840,210,4796400,23.12,528096.67,22840,HTTP-FLOOD,20/02/2018 11:14:21
4,46096,21,10274,210,2157540,23.13,237688.23,10274,HTTP-FLOOD,21/02/2018 11:42:47 PM
3,40739,24,64237,210,13489770,23.16,1487836.81,64237,HTTP-FLOOD,21/02/2018 11:48:58 PM
1,31116,21,38600,210,8106000,23.22,896113.61,38600,HTTP-FLOOD,21/02/2018 11:53:49 PM
1,52546,23,3992,210,838320,23.22,92675.79,3992,HTTP-FLOOD,16/02/2018 11:20:33 PM
12,54741,22,52695,210,11065950,23.15,1219799.47,52695,HTTP-FLOOD,16/02/2018 11:16:38 PM
8,58883,24,13715,210,2880150,23.03,315836.12,13715,HTTP-FLOOD,22/02/2018 12:07:01 AM
20,68049,21,55,7085,389675,94.72,5209.67,55,HTTP-FLOOD,16/02/2018 11:24:01 PM
16,52561,23,42456,210,8915760,23.04,978261.19,42456,HTTP-FLOOD,16/02/2018 11:17:48 PM
14,13936,22,7722,210,1621620,23.09,178338.87,7722,HTTP-FLOOD,21/02/2018 11:43:29 PM
17,40753,24,59241,210,12440610,23.02,1363448.66,59241,HTTP-FLOOD,16/02/2018 11:18:27 PM
8,55791,23,7698,210,1616580,23.03,177273.53,7698,HTTP-FLOOD,16/02/2018 11:20:12 PM
14,47198,24,55519,210,11658990,23.09,1282206.12,55519,HTTP-FLOOD,22/02/2018 12:22:02 AM
4,35383,23,29343,210,6162030,23.13,678848.12,29343,HTTP-FLOOD,16/02/2018 11:18:24 PM
17,26802,24,51626,210,10841460,23.02,1188187.24,51626,HTTP-FLOOD,21/02/2018 11:51:39 PM
5,65270,24,64569,210,13559490,23.11,1492075.36,64569,HTTP-FLOOD,21/02/2018 11:42:28 PM
5,34331,21,65383,210,13730430,23.11,1510885.46,65383,HTTP-FLOOD,16/02/2018 11:28:17 PM
2,27880,21,8501,210,1785210,23.19,197125.42,8501,HTTP-FLOOD,22/02/2018 12:11:18 AM
8,25768,21,23291,210,4891110,23.03,536357.2,23291,HTTP-FLOOD,21/02/2018 11:41:49 PM
2,5358,23,49920,210,10483200,23.19,1157569.82,49920,HTTP-FLOOD,22/02/2018 12:34:47 AM
20,59047,21,55,7085,389675,94.72,5209.67,55,HTTP-FLOOD,16/02/2018 11:22:47 PM
3,30065,24,59157,210,12422970,23.16,1370175.48,59157,HTTP-FLOOD,16/02/2018 11:22:24 PM
13,42933,24,40139,210,8429190,23.12,928076.72,40139,HTTP-FLOOD,16/02/2018 11:21:49 PM
12,65277,24,44305,210,9304050,23.15,1025585.26,44305,HTTP-FLOOD,16/02/2018 11:24:33 PM
2,67443,23,7255,210,1523550,23.19,168232.55,7255,HTTP-FLOOD,16/02/2018 11:25:47 PM
2,40738,21,5157,210,1082970,23.19,119583.08,5157,HTTP-FLOOD,16/02/2018 11:25:17 PM
7,53644,23,65222,210,13696620,23.06,1503695.06,65222,HTTP-FLOOD,16/02/2018 11:24:12 PM
19,13941,24,5427,210,1139670,22.97,124644.33,5427,HTTP-FLOOD,22/02/2018 12:08:44 AM
7,6455,23,46754,210,9818340,23.06,1077914.8,46754,HTTP-FLOOD,16/02/2018 11:21:06 PM
5,55788,21,59721,210,12541410,23.11,1380046.66,59721,HTTP-FLOOD,20/02/2018 10:46:44
8,21433,23,39538,210,8302980,23.03,910501.53,39538,HTTP-FLOOD,21/02/2018 11:45:34 PM
6,56779,21,54081,210,11357010,23.08,1248276.02,54081,HTTP-FLOOD,16/02/2018 11:21:44 PM
6,26791,23,41957,210,8810970,23.08,968434.7,41957,HTTP-FLOOD,22/02/2018 12:02:02 AM
6,23615,23,23120,210,4855200,23.08,533646.6,23120,HTTP-FLOOD,22/02/2018 12:13:12 AM
3,59967,23,50141,210,10529610,23.16,1161349.77,50141,HTTP-FLOOD,16/02/2018 11:24:40 PM
2,42,24,55807,210,11719470,23.19,1294080.51,55807,HTTP-FLOOD,20/02/2018 10:33:29
5,33238,24,61457,210,12905970,23.11,1420162.55,61457,HTTP-FLOOD,21/02/2018 11:58:01 PM
3,33236,24,63914,210,13421940,23.16,1480355.59,63914,HTTP-FLOOD,16/02/2018 11:18:38 PM
8,8574,24,28922,210,6073620,23.03,666030.79,28922,HTTP-FLOOD,21/02/2018 11:58:30 PM
10,24715,23,36289,210,7620690,23.2,841974.86,36289,HTTP-FLOOD,22/02/2018 12:24:41 AM
2,68532,21,12085,210,2537850,23.19,280233,12085,HTTP-FLOOD,15/02/2018 08:53:32 PM
16,9674,24,47661,210,10008810,23.04,1098193.58,47661,HTTP-FLOOD,22/02/2018 12:12:26 AM
2,6450,24,48310,210,10145100,23.19,1120236.34,48310,HTTP-FLOOD,22/02/2018 12:20:49 AM
9,65274,21,52186,210,10959060,23,1200386.04,52186,HTTP-FLOOD,16/02/2018 11:23:45 PM
5,45,21,43241,210,9080610,23.11,999223.01,43241,HTTP-FLOOD,15/02/2018 07:25:55 PM
7,4309,24,65341,210,13721610,23.06,1506438.61,65341,HTTP-FLOOD,16/02/2018 11:18:11 PM
10,44021,24,49989,210,10497690,23.2,1159841.3,49989,HTTP-FLOOD,16/02/2018 11:17:16 PM
5,15019,23,48960,210,10281600,23.11,1131378.99,48960,HTTP-FLOOD,21/02/2018 11:52:36 PM
15,31130,24,43808,210,9199680,23.07,1010576.38,43808,HTTP-FLOOD,16/02/2018 11:20:43 PM
18,8584,23,35324,210,7418040,22.99,812058.78,35324,HTTP-FLOOD,16/02/2018 11:18:58 PM
15,62117,23,36783,210,7724430,23.07,848521.52,36783,HTTP-FLOOD,22/02/2018 12:03:58 AM
13,30075,23,10241,210,2150610,23.12,236788,10241,HTTP-FLOOD,16/02/2018 11:27:17 PM
20,78876,23,55,7085,389675,94.72,5209.67,55,HTTP-FLOOD,22/02/2018 12:04:37 AM
15,58890,22,57079,210,11986590,23.07,1316715.88,57079,HTTP-FLOOD,22/02/2018 12:02:03 AM
11,13933,22,29481,210,6191010,23.18,683224.56,29481,HTTP-FLOOD,21/02/2018 11:47:36 PM
3,17163,21,6655,210,1397550,23.16,154140.98,6655,HTTP-FLOOD,16/02/2018 11:16:22 PM
2,40738,23,31813,210,6680730,23.19,737695.69,31813,HTTP-FLOOD,22/02/2018 12:26:12 AM
8,31123,23,23969,210,5033490,23.03,551970.54,23969,HTTP-FLOOD,16/02/2018 11:15:41 PM
20,60842,21,55,7085,389675,94.72,5209.67,55,HTTP-FLOOD,16/02/2018 11:23:05 PM
4,36476,24,44467,210,9338070,23.13,1028740.74,44467,HTTP-FLOOD,16/02/2018 11:26:17 PM
16,66370,22,19511,210,4097310,23.04,449567.88,19511,HTTP-FLOOD,16/02/2018 11:22:09 PM
20,62336,23,55,7085,389675,94.72,5209.67,55,HTTP-FLOOD,16/02/2018 11:21:18 PM
3,66357,23,50878,210,10684380,23.16,1178419.93,50878,HTTP-FLOOD,16/02/2018 11:27:31 PM
19,19,22,1824,210,383040,22.97,41892.62,1824,HTTP-FLOOD,16/02/2018 11:22:18 PM
17,68547,23,26009,210,5461890,23.02,598604.62,26009,HTTP-FLOOD,16/02/2018 11:18:07 PM
4,42924,21,23541,210,4943610,23.13,544619.28,23541,HTTP-FLOOD,21/02/2018 11:44:41 PM
8,6456,23,26790,210,5625900,23.03,616933.99,26790,HTTP-FLOOD,21/02/2018 11:48:41 PM
11,55794,23,53857,210,11309970,23.18,1248140.34,53857,HTTP-FLOOD,21/02/2018 11:52:38 PM
3,32211,21,11344,210,2382240,23.16,262746.09,11344,HTTP-FLOOD,22/02/2018 12:12:12 AM
10,40746,23,15856,210,3329760,23.2,367889.81,15856,HTTP-FLOOD,21/02/2018 11:52:19 PM
2,33235,23,54843,210,11517030,23.19,1271726.79,54843,HTTP-FLOOD,16/02/2018 11:26:49 PM
12,18264,23,49392,210,10372320,23.15,1143340.64,49392,HTTP-FLOOD,16/02/2018 11:20:58 PM
8,63199,23,27585,210,5792850,23.03,635241.66,27585,HTTP-FLOOD,12/6/2010 11:59
2,69621,23,28027,210,5885670,23.19,649904.03,28027,HTTP-FLOOD,16/02/2018 11:18:51 PM
19,16087,22,42922,210,9013620,22.97,985808.74,42922,HTTP-FLOOD,22/02/2018 12:28:36 AM
15,23624,23,51151,210,10741710,23.07,1179966.96,51151,HTTP-FLOOD,22/02/2018 12:00:36 AM
15,34341,23,28675,210,6021750,23.07,661483.69,28675,HTTP-FLOOD,16/02/2018 11:23:53 PM
17,50444,23,52714,210,11069940,23.02,1213227.87,52714,HTTP-FLOOD,16/02/2018 11:23:35 PM
8,15022,21,27796,210,5837160,23.03,640100.68,27796,HTTP-FLOOD,16/02/2018 11:16:34 PM
9,59973,24,12896,210,2708160,23,296634.7,12896,HTTP-FLOOD,16/02/2018 11:22:10 PM
19,42939,24,54127,210,11366670,22.97,1243158.98,54127,HTTP-FLOOD,16/02/2018 11:17:48 PM
17,13939,24,60713,210,12749730,23.02,1397327.16,60713,HTTP-FLOOD,15/02/2018 08:37:57 PM
16,61029,24,36937,210,7756770,23.04,851093.69,36937,HTTP-FLOOD,16/02/2018 11:20:22 PM
17,4319,23,1731,210,363510,23.02,39839.46,1731,HTTP-FLOOD,21/02/2018 11:56:49 PM
12,40748,24,57767,210,12131070,23.15,1337207.62,57767,HTTP-FLOOD,16/02/2018 11:21:02 PM
15,71774,24,12869,210,2702490,23.07,296866.04,12869,HTTP-FLOOD,16/02/2018 11:17:01 PM
20,69576,21,55,7085,389675,94.72,5209.67,55,HTTP-FLOOD,16/02/2018 11:16:25 PM
2,69621,21,57142,210,11999820,23.19,1325037.15,57142,HTTP-FLOOD,16/02/2018 11:18:42 PM
2,50429,21,35205,210,7393050,23.19,816351.07,35205,HTTP-FLOOD,16/02/2018 11:17:59 PM
19,47203,22,22763,210,4780230,22.97,522807.99,22763,HTTP-FLOOD,21/02/2018 11:48:12 PM
15,5371,23,11428,210,2399880,23.07,263624.61,11428,HTTP-FLOOD,22/02/2018 12:29:06 AM
13,38669,23,33305,210,6994050,23.12,770063.91,33305,HTTP-FLOOD,22/02/2018 12:33:12 AM
9,55792,23,29696,210,6236160,23,683069.48,29696,HTTP-FLOOD,20/02/2018 10:20:39
6,37569,23,63094,210,13249740,23.08,1456310.49,63094,HTTP-FLOOD,4/7/2017 0:33
6,1032,21,18131,210,3807510,23.08,418492.49,18131,HTTP-FLOOD,20/02/2018 05:09:05
12,16080,22,32243,210,6771030,23.15,746370.51,32243,HTTP-FLOOD,20/02/2018 09:24:41
8,42928,24,40422,210,8488620,23.03,930858.74,40422,HTTP-FLOOD,20/02/2018 09:29:38
18,59982,23,61069,210,12824490,22.99,1403907.19,61069,HTTP-FLOOD,20/02/2018 08:49:03
17,57,23,58611,210,12308310,23.02,1348949.02,58611,HTTP-FLOOD,20/02/2018 11:56:31
17,40753,23,65010,210,13652100,23.02,1496223.85,65010,HTTP-FLOOD,20/02/2018 08:55:25
20,58242,23,55,7085,389675,94.72,5209.67,55,HTTP-FLOOD,3/7/2017 18:22
20,72725,23,55,7085,389675,94.72,5209.67,55,HTTP-FLOOD,3/7/2017 18:52
5,11809,23,60304,210,12663840,23.11,1393518.76,60304,HTTP-FLOOD,20/02/2018 09:53:30
12,2130,23,9191,210,1930110,23.15,212755.99,9191,HTTP-FLOOD,20/02/2018 02:25:31
10,47194,23,17356,210,3644760,23.2,402692.71,17356,HTTP-FLOOD,20/02/2018 10:29:30
12,1038,24,55943,210,11748030,23.15,1294985.13,55943,HTTP-FLOOD,20/02/2018 05:14:51
1,38657,24,22194,210,4660740,23.22,515242.11,22194,HTTP-FLOOD,20/02/2018 09:15:43
11,4313,23,40284,210,8459640,23.18,933584.96,40284,HTTP-FLOOD,20/02/2018 03:44:56
4,63195,23,15390,210,3231900,23.13,356046.51,15390,HTTP-FLOOD,20/02/2018 01:07:44
18,9676,22,25941,210,5447610,22.99,596354.23,25941,HTTP-FLOOD,20/02/2018 02:21:41
1,7475,24,53388,210,11211480,23.22,1239422.63,53388,HTTP-FLOOD,3/7/2017 21:20
7,2125,24,38708,210,8128680,23.06,892414.04,38708,HTTP-FLOOD,20/02/2018 12:32:41
12,39693,23,17638,210,3703980,23.15,408289.65,17638,HTTP-FLOOD,20/02/2018 03:11:47
12,72792,23,3274,210,687540,23.15,75787.52,3274,HTTP-FLOOD,20/02/2018 11:25:23
6,34332,24,10759,210,2259390,23.08,248334.94,10759,HTTP-FLOOD,20/02/2018 01:10:46
4,34330,24,59614,210,12518940,23.13,1379165.46,59614,HTTP-FLOOD,20/02/2018 05:19:53
19,46111,22,14358,210,3015180,22.97,329766.6,14358,HTTP-FLOOD,20/02/2018 02:07:32
10,7484,22,51477,210,10810170,23.2,1194365.78,51477,HTTP-FLOOD,3/7/2017 21:36
16,13938,23,48333,210,10149930,23.04,1113677.65,48333,HTTP-FLOOD,20/02/2018 10:46:22
3,53640,21,32411,210,6806310,23.16,750693.2,32411,HTTP-FLOOD,20/02/2018 09:10:44
3,45107,23,5753,210,1208130,23.16,133249.14,5753,HTTP-FLOOD,20/02/2018 11:09:33
4,19349,24,54522,210,11449620,23.13,1261362.42,54522,HTTP-FLOOD,20/02/2018 12:58:19
18,55801,23,51283,210,10769430,22.99,1178938.12,51283,HTTP-FLOOD,20/02/2018 04:43:23
16,11820,23,34300,210,7203000,23.04,790332.55,34300,HTTP-FLOOD,3/7/2017 21:22
2,6450,21,57757,210,12128970,23.19,1339298.08,57757,HTTP-FLOOD,20/02/2018 11:32:44
11,2129,24,36505,210,7666050,23.18,846006.33,36505,HTTP-FLOOD,20/02/2018 03:03:56
2,20334,24,39097,210,8210370,23.19,906600.71,39097,HTTP-FLOOD,20/02/2018 02:48:42
20,60427,21,55,7085,389675,94.72,5209.67,55,HTTP-FLOOD,20/02/2018 02:38:09
18,35397,23,63495,210,13333950,22.99,1459678.18,63495,HTTP-FLOOD,20/02/2018 12:57:48
4,55787,24,39348,210,8263080,23.13,910313.05,39348,HTTP-FLOOD,20/02/2018 12:00:48
15,40751,23,35232,210,7398720,23.07,812742.58,35232,HTTP-FLOOD,3/7/2017 18:02
3,51522,24,22075,210,4635750,23.16,511294.08,22075,HTTP-FLOOD,20/02/2018 03:45:10
1,16069,24,28022,210,5884620,23.22,650541.34,28022,HTTP-FLOOD,20/02/2018 05:20:30
20,68051,21,55,7085,389675,94.72,5209.67,55,HTTP-FLOOD,20/02/2018 09:08:38
2,51521,23,35423,210,7438830,23.19,821406.16,35423,HTTP-FLOOD,20/02/2018 09:41:36
18,69637,22,8901,210,1869210,22.99,204623.92,8901,HTTP-FLOOD,20/02/2018 10:06:59
1,2119,24,18488,210,3882480,23.22,429205.92,18488,HTTP-FLOOD,20/02/2018 03:44:32
13,40749,24,34144,210,7170240,23.12,789462.91,34144,HTTP-FLOOD,20/02/2018 02:03:27
8,68538,21,29219,210,6135990,23.03,672870.26,29219,HTTP-FLOOD,3/7/2017 19:35
15,45119,22,47279,210,9928590,23.07,1090646.47,47279,HTTP-FLOOD,20/02/2018 04:18:57
19,58894,24,55935,210,11746350,22.97,1284684.13,55935,HTTP-FLOOD,20/02/2018 04:03:48
